"typeName","type","value"
"CanadianPostalAbbreviations","enumeratedString","NU"
"CanadianPostalAbbreviations","enumeratedString","ON"
"CanadianPostalAbbreviations","enumeratedString","PE"
"CanadianPostalAbbreviations","enumeratedString","QC"
"CanadianPostalAbbreviations","enumeratedString","SK"
"CanadianPostalAbbreviations","enumeratedString","YT"
"ClearingFirmShortName","enumeratedString","ASIGNA"
"ClearingFirmShortName","enumeratedString","ASX"
"ClearingFirmShortName","enumeratedString","Bilateral"
"ClearingFirmShortName","enumeratedString","CME_EU"
"ClearingFirmShortName","enumeratedString","CME_US"
"ClearingFirmShortName","enumeratedString","Eurex"
"ClearingFirmShortName","enumeratedString","HKEX"
"ClearingFirmShortName","enumeratedString","ICE_CLEAR_EU"
"ClearingFirmShortName","enumeratedString","ICE_CLEAR_US"
"ClearingFirmShortName","enumeratedString","JSCC"
"ClearingFirmShortName","enumeratedString","KDPW"
"ClearingFirmShortName","enumeratedString","KRX"
"ClearingFirmShortName","enumeratedString","LCH_CLEARNET_LLC"
"ClearingFirmShortName","enumeratedString","LCH_CLEARNET_LTD"
"ClearingFirmShortName","enumeratedString","LCH_CLEARNET_SA"
"ClearingFirmShortName","enumeratedString","MOEX"
"ClearingFirmShortName","enumeratedString","NASDAQ_OMX"
"ClearingFirmShortName","enumeratedString","SGX"
"ClearingFirmShortName","enumeratedString","Unknown"
"ClearingStatus","enumeratedString","Accepted"
"ClearingStatus","enumeratedString","AwaitingAcceptance"
"ClearingStatus","enumeratedString","Cancelled"
"ClearingStatus","enumeratedString","Decleared"
"ClearingStatus","enumeratedString","Exercised"
"ClearingStatus","enumeratedString","Expired"
"ClearingStatus","enumeratedString","Pending"
"ClearingStatus","enumeratedString","PendingTheirApproval"
"ClearingStatus","enumeratedString","Received"
"ClearingStatus","enumeratedString","Registered"
"ClearingStatus","enumeratedString","Rejected"
"ClearingStatus","enumeratedString","Settled"
"ClearingStatus","enumeratedString","Uncleared"
"CollateralType","enumeratedString","Fully"
"CollateralType","enumeratedString","OneWay"
"CollateralType","enumeratedString","Partially"
"CollateralType","enumeratedString","Uncollateralized"
"CollateralisationBasis","enumeratedString","Trade"
"CollateralisationBasis","enumeratedString","NetExposure"
"CollateralisationBasis","enumeratedString","Uncollateralised"
"CommodityCode","enumeratedString","CBT BO"
"CommodityCode","enumeratedString","CBT C"
"CommodityCode","enumeratedString","CBT EH"
"CommodityCode","enumeratedString","CBT O"
"CommodityCode","enumeratedString","CBT RR"
"CommodityCode","enumeratedString","CBT S"
"CommodityCode","enumeratedString","CBT SM"
"CommodityCode","enumeratedString","CBT W"
"CommodityCode","enumeratedString","CME AW"
"CommodityCode","enumeratedString","CME CAT"
"CommodityCode","enumeratedString","CME CB"
"CommodityCode","enumeratedString","CME CDD"
"CommodityCode","enumeratedString","CME CPO"
"CommodityCode","enumeratedString","CME CSC"
"CommodityCode","enumeratedString","CME DA"
